[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | NOTIC: [8] Undefined variable: article_count 173f2f44c9240ad933ddcd57958b8c3b.php 第 120 行.
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Run ParseTemplate Behavior [ RunTime:0.017915s ]
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018092s ]
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Tag[ view_filter ] --START--
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Run ContentReplace Behavior [ RunTime:0.003127s ]
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Run TokenBuild Behavior [ RunTime:0.001182s ]
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000674s ]
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Run ShowRuntime Behavior [ RunTime:0.000948s ]
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006414s ]
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Tag[ view_end ] --START--
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Run ShowPageTrace Behavior [ RunTime:0.001048s ]
[ 2015-02-12T16:35:58+08:00 ] /xxx/admin.php/Article/look/id/1/author/jing | INFO: Tag[ view_end ] --END-- [ RunTime:0.001226s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ route_check ] --START--
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.001014s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001167s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000943s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001047s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | SQL: SHOW COLUMNS FROM `think_news` [ RunTime:0.004109s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_news` LIMIT 1   [ RunTime:0.000982s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | SQL: SELECT `id`,`subject`,`author`,`createtime`,`lastmodifytime`,`sum` FROM `think_news` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000580s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ view_template ] --START--
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001606s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001776s ]
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-02-12T16:36:00+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
